종목명,종목코드,시장,섹터코드,섹터명
키움증권,039490,KOSPI,S05,금융·보험
하나금융지주,086790,KOSPI,S05,금융·보험
한국금융지주,071050,KOSPI,S05,금융·보험
한국금융지주우,071055,KOSPI,S05,금융·보험
한양증권,001750,KOSPI,S05,금융·보험
한양증권우,001755,KOSPI,S05,금융·보험
한화생명,088350,KOSPI,S05,금융·보험
한화손해보험,000370,KOSPI,S05,금융·보험
한화투자증권,003530,KOSPI,S05,금융·보험
한화투자증권우,003535,KOSPI,S05,금융·보험
현대차증권,001500,KOSPI,S05,금융·보험
흥국화재,000540,KOSPI,S05,금융·보험
흥국화재우,000545,KOSPI,S05,금융·보험
CJ 바이오사이언스,311690,KOSDAQ,S06,바이오·헬스
CMG제약,058820,KOSDAQ,S06,바이오·헬스
HLB,028300,KOSDAQ,S06,바이오·헬스
HLB바이오스텝,278650,KOSDAQ,S06,바이오·헬스
HLB제약,047920,KOSDAQ,S06,바이오·헬스
NH농우바이오,054050,KOSDAQ,S06,바이오·헬스
강스템바이오텍,217730,KOSDAQ,S06,바이오·헬스
경남제약,053950,KOSDAQ,S06,바이오·헬스
경동제약,011040,KOSDAQ,S06,바이오·헬스
고려제약,014570,KOSDAQ,S06,바이오·헬스
고바이오랩,348150,KOSDAQ,S06,바이오·헬스
넥스트바이오메디컬,389650,KOSDAQ,S06,바이오·헬스
대화제약,067080,KOSDAQ,S06,바이오·헬스
동구바이오제약,006620,KOSDAQ,S06,바이오·헬스
동국제약,086450,KOSDAQ,S06,바이오·헬스
듀켐바이오,176750,KOSDAQ,S06,바이오·헬스
레몬헬스케어,365660,KOSDAQ,S06,바이오·헬스
로킷헬스케어,376900,KOSDAQ,S06,바이오·헬스
루닛,328130,KOSDAQ,S06,바이오·헬스
리가켐바이오,141080,KOSDAQ,S06,바이오·헬스
메타바이오메드,059210,KOSDAQ,S06,바이오·헬스
바이오니아,064550,KOSDAQ,S06,바이오·헬스
바이오다인,314930,KOSDAQ,S06,바이오·헬스
바이오비쥬,489460,KOSDAQ,S06,바이오·헬스
바이오솔루션,086820,KOSDAQ,S06,바이오·헬스
바이오스마트,038460,KOSDAQ,S06,바이오·헬스
바이오에프디엔씨,251120,KOSDAQ,S06,바이오·헬스
바이오인프라,199730,KOSDAQ,S06,바이오·헬스
바이오톡스텍,086040,KOSDAQ,S06,바이오·헬스
바이오포트,188040,KOSDAQ,S06,바이오·헬스
바이오플러스,099430,KOSDAQ,S06,바이오·헬스
박셀바이오,323990,KOSDAQ,S06,바이오·헬스
비보존 제약,082800,KOSDAQ,S06,바이오·헬스
비씨월드제약,200780,KOSDAQ,S06,바이오·헬스
삼아제약,009300,KOSDAQ,S06,바이오·헬스
삼익제약,014950,KOSDAQ,S06,바이오·헬스
삼천당제약,000250,KOSDAQ,S06,바이오·헬스
서린바이오,038070,KOSDAQ,S06,바이오·헬스
서울바이오시스,092190,KOSDAQ,S06,바이오·헬스
서울제약,018680,KOSDAQ,S06,바이오·헬스
선바이오,067370,KOSDAQ,S06,바이오·헬스
셀바스헬스케어,208370,KOSDAQ,S06,바이오·헬스
셀바이오휴먼텍,318160,KOSDAQ,S06,바이오·헬스
